title,status,genres,favorites,popularity,rank,score,authors
Solo Leveling,Finished,"Action, Adventure, Fantasy","40,014",#7,#56,8.68,"Chugong (Story), Jang, Sung-rak (Art), Disciples (Art)"
The Horizon,Finished,"Adventure, Drama","4,047",#187,#58,8.67,"Jeong, Ji-Hoon (Story & Art)"
Wind Breaker,Publishing,"Action, Drama, Sports","2,688",#368,#94,8.58,"Jo, Yongseok (Story & Art)"
Bastard,Finished,"Drama, Horror, Mystery, Romance","6,455",#84,#140,8.5,"Kim, Carnby (Story), Hwang, Young-chan (Art)"
Who Made Me a Princess,Finished,"Comedy, Fantasy, Romance","2,648",#349,#175,8.44,"Plutus (Story), Spoon (Art)"
The Boxer,Finished,"Drama, Sports","1,218",#550,#186,8.42,"Jeong, Ji-Hoon (Story & Art)"
The Breaker,Finished,"Action, Comedy, Drama","6,188",#76,#202,8.4,"Park, Jin-Hwan (Art), Jeon, Geuk-jin (Story)"
Eleceed,Publishing,Action,766,#1104,#207,8.4,"Kim, Hye-Jin (Art), Son, Jae-Ho (Story)"
Tower of God,Publishing,"Action, Adventure, Drama, Fantasy, Mystery","12,007",#42,#210,8.39,SIU (Story & Art)
Omniscient Reader,Publishing,"Action, Adventure, Fantasy","4,257",#152,#211,8.39,"sing N song (Story), Sleepy-C (Art)"
The Legend of the Northern Blade,Publishing,"Action, Adventure, Fantasy",832,#648,#212,8.39,"Woogack (Story), Hae, Min (Art)"
The Breaker: New Waves,Finished,"Action, Comedy, Drama, Romance","4,292",#143,#231,8.37,"Park, Jin-Hwan (Art), Jeon, Geuk-jin (Story)"
Seasons of Blossom,Finished,Romance,347,#3060,#262,8.34,"Hongduck (Story), NEMONE (Art)"
After School Lessons for Unripe Apples,Publishing,Romance,208,#7070,#317,8.29,Soonkki (Story & Art)
Annarasumanara,Finished,"Drama, Mystery, Romance","2,785",#220,#319,8.28,"Ha, Il-Kwon (Story & Art)"
Sweet Home,Finished,"Action, Drama, Horror, Suspense","2,544",#209,#345,8.26,"Kim, Carnby (Story), Hwang, Young-chan (Art)"
Villains Are Destined to Die,Publishing,"Drama, Fantasy, Romance",843,#714,#355,8.24,"Gwon, Gyeoeul (Story), SUOL (Art)"
Daytime Star,Finished,Romance,113,#4839,#373,8.23,"Chae-eun (Story), Godago (Art)"
Spirit Fingers,Finished,"Comedy, Romance, Life",307,#2890,#388,8.22,"Han, Kyoung-chal (Story & Art)"
The Greatest Estate Developer,Publishing,"Adventure, Fantasy",270,#2094,#415,8.2,"Moon, Back-kyung (Story), Kim, Hyunsoo (Art)"
Your Throne,Publishing,"Drama, Fantasy, Romance",734,#848,#421,8.19,SAM (Story & Art)
Return of the Blossoming Blade,Publishing,"Action, Adventure, Fantasy",364,#1640,#431,8.18,"LICO (Art), Biga (Story)"
I Shall Master This Family,Publishing,Fantasy,222,#2314,#475,8.15,"Kim, Roah (Story), Mon (Art)"
Something About Us,Finished,Romance,730,#611,#485,8.14,"Lee, Yunji (Story & Art)"
King's Maker,Finished,"Love, Drama, Fantasy",272,#1724,#497,8.14,"Haga (Story & Art), Kang, Ji-young (Story & Art)"
Can't See Can't Hear But Love,Finished,"Drama, Romance",364,#891,#515,8.13,"Go, Yeong-Hun (Story & Art)"
Cheese in the Trap Season 4,Finished,"Comedy, Mystery, Romance, Life",162,#2318,#520,8.12,Soonkki (Story & Art)
Why Raeliana Ended Up at the Duke's Mansion,Finished,"Fantasy, Romance",775,#599,#522,8.12,"Milcha (Story), Gorae (Art)"
Cheese in the Trap Season 3,Finished,"Comedy, Mystery, Romance, Life",95,#2065,#536,8.12,Soonkki (Story & Art)
Noblesse,Finished,"Action, Adventure, Comedy, Supernatural","4,931",#120,#541,8.11,"Son, Jae-Ho (Story), Lee, Gwang-Su (Art)"
See You in My 19th Life,Finished,Romance,177,#3061,#555,8.11,"Lee, Hye (Story & Art)"
Her Tale of Shim Chong,Finished,"Drama, Love",291,#2873,#558,8.1,"seri (Story), Biwan (Art)"
Vagrant Soldier Ares,Finished,"Action, Adventure, Drama",500,#1133,#582,8.09,"Ryu, Geum Chel (Story & Art)"
Your Letter,Finished,"Adventure, Drama, Mystery",249,#1718,#601,8.08,"Cho, Hyun-ah (Story & Art)"
A Stepmother's Märchen,Publishing,"Drama, Fantasy, Romance",324,#1633,#603,8.08,"Nyangi-wa Hyangsinnyo (Story), ORKA (Art)"
Cheese in the Trap Season 2,Finished,"Comedy, Mystery, Romance, Life",67,#1898,#609,8.07,Soonkki (Story & Art)
Let Dai,Finished,"Love, Drama",387,#1991,#617,8.06,"Won, Soo-yeon (Story & Art)"
The Remarried Empress,Publishing,"Drama, Fantasy, Romance",597,#896,#632,8.06,"Alphatart (Story), Sumpul (Art)"
Winter Woods,Finished,"Fantasy, Horror, Mystery, Romance",226,#2177,#653,8.05,"Cosmos (Story), VAN.J (Art)"
Heesu in Class 2,Finished,Love,161,#3610,#655,8.05,Lily (Story & Art)
Romance 101,Finished,"Comedy, Romance",164,#4403,#657,8.05,Namsu (Story & Art)
About Death,Finished,"Life, Supernatural",426,#1380,#666,8.04,"Sini (Story), Hyeono (Art)"
Viral Hit,Publishing,Action,488,#1181,#691,8.02,"Kim, Jung-Hyun (Art), Park, Tae-Jun (Story)"
Semantic Error,Publishing,Love,139,#4573,#753,7.99,"J. Soori (Story), Angy (Art)"
Positively Yours,Finished,Romance,96,#3931,#754,7.98,"Lee, Jung (Story), Kangki (Art)"
Kubera,Publishing,"Action, Adventure, Comedy, Fantasy, Romance",473,#1342,#759,7.98,Currygom (Story & Art)
Lookism,Publishing,"Action, Comedy, Drama, Supernatural","2,252",#311,#774,7.97,"Park, Tae-Jun (Story & Art)"
Weak Hero,Publishing,"Action, Drama",556,#818,#776,7.97,"RAZEN (Art), Seopass (Story)"
Leviathan,Finished,"Action, Fantasy",115,#3862,#778,7.97,"Noh, Miyoung (Art), Lee, Gyuntak (Story)"
Id,On Hiatus,"Action, Adventure, Fantasy",323,#1422,#786,7.97,"Kim, Daewoo (Story)"
Nano Machine,Publishing,"Action, Adventure, Fantasy, Sci-Fi",337,#1332,#802,7.96,"Hanjung Wolya (Story), Geumgang Bulgoe (Art)"
Cheese in the Trap Season 1,Finished,"Comedy, Mystery, Romance, Life",740,#667,#817,7.96,Soonkki (Story & Art)
4 Cut Hero,Publishing,"Action, Adventure, Comedy, Fantasy, Romance",297,#1837,#824,7.95,Gojira-kun (Story & Art)
SSS-Class Revival Hunter,Publishing,"Action, Adventure, Fantasy",451,#941,#828,7.95,"Bill K (Art), Sinnoa (Story)"
Fools,Finished,"Love, Life",108,#3525,#838,7.95,"Yeong-ha (Story), Bakdam (Art)"
Witch of Mine,Finished,"Drama, Fantasy, Romance",167,#4228,#842,7.94,"Heyoon (Story), MAS (Art)"
Dr. Frost,Publishing,Drama,235,#1582,#848,7.94,"Lee, Jong-bum (Story & Art)"
Lost in the Cloud,Publishing,Love,141,#6201,#861,7.94,"Kim, Pas (Story & Art)"
Operation: True Love,Publishing,"Romance, Supernatural",274,#2747,#862,7.93,"Kkokkalee (Story), Deuldeom (Art)"
Hellper,Finished,"Action, Fantasy, Supernatural",251,#1554,#878,7.93,Sakk (Story & Art)
Unholy Blood,Finished,"Action, Romance, Supernatural",469,#987,#901,7.92,"Im, Lina (Story & Art)"
Saver,Finished,"Action, Adventure, Drama, Fantasy, Romance",154,#2756,#908,7.92,"Lee, Eun-Young (Story & Art)"
Navillera: Like a Butterfly,Finished,Drama,54,#4785,#934,7.91,"Hun (Story), Jimin (Art)"
Teenage Mercenary,Publishing,Action,463,#834,#967,7.9,"YC (Story), Rakhyun (Art)"
Roxana,Publishing,"Drama, Fantasy, Romance",179,#2725,#968,7.9,"Kin (Story), Yeoreumbit (Art)"
Odd Girl Out,Publishing,"Comedy, Life",176,#3761,#974,7.9,Morangji (Story & Art)
A Business Proposal,Finished,"Comedy, Drama, Romance",156,#2584,#978,7.89,"Haehwa (Story), NARAK (Art)"
How to Win My Husband Over,Publishing,"Drama, Fantasy",133,#3432,#1000,7.88,"Nyangi-wa Hyangsinnyo (Story), Siru (Art)"
Trapped,Publishing,"Romance, Suspense",109,#6495,#1001,7.88,Haemuri (Story & Art)
Yumi's Cells,Finished,"Comedy, Drama, Romance, Life",124,#4450,#1055,7.86,"Lee, Dong-Gun (Story & Art)"
Maybe Meant to Be,Publishing,"Comedy, Romance",171,#1800,#1058,7.86,"Kkultarae (Story), Damcho (Art)"
The Stories of Those Around Me,Finished,"Comedy, Romance, Life",104,#3527,#1069,7.86,Omyo (Story & Art)
One Thousand and One Nights,Finished,"Love, Drama, Fantasy",65,#4733,#1087,7.85,"Han, Seung-Hee (Art), Jeon, Jin-Seok (Story)"
Trace,Finished,"Action, Drama, Fantasy, Romance, Sci-Fi, Supernatural",157,#1635,#1091,7.85,"Go, Yeong-Hun (Story & Art)"
Whale Star: The Gyeongseong Mermaid,Finished,"Drama, Romance",75,#10039,#1101,7.85,"Na, Yun-hui (Story & Art)"
Orange Marmalade,Finished,"Drama, Romance",871,#389,#1117,7.84,"Kang, Seok Woo (Story & Art)"
Duty After School,Finished,"Action, Drama, Sci-Fi",186,#1870,#1119,7.84,"Ha, Il-Kwon (Story & Art)"
Dreaming Freedom,Publishing,"Drama, Supernatural",178,#3899,#1123,7.84,2L (Story & Art)
The Male Lead's Little Lion Daughter,Publishing,"Drama, Fantasy",66,#4200,#1124,7.84,"Latine (Story), Ttona (Art)"
Super Secret,Finished,"Comedy, Drama, Romance, Supernatural",184,#2270,#1129,7.84,eon (Story & Art)
A Good Day to Be a Dog,Finished,"Comedy, Drama, Romance, Supernatural",242,#1518,#1132,7.84,"Lee, Hye (Story & Art)"
My Life as an Internet Novel,Publishing,"Comedy, Romance",238,#2339,#1139,7.83,"Yu, Han-ryeo (Story), Ah Hyun (Art)"
Ghost Teller,Finished,"Horror, Supernatural",90,#4499,#1141,7.83,QTT (Story & Art)
King's Maker: Triple Crown,Publishing,"Love, Drama, Fantasy",50,#6646,#1142,7.83,"Haga (Story & Art), Kang, Ji-young (Story & Art)"
The Friendly Winter,Finished,Drama,83,#3670,#1144,7.83,"Lee, Jun (Story & Art)"
The Summit,Finished,Love,60,#5116,#1207,7.81,"Lee, Young Hui (Story & Art)"
Medical Return,Finished,Drama,60,#5278,#1277,7.78,"Yuin (Story), Kidari Studio (Art)"
Goong,Finished,"Comedy, Drama, Romance",268,#1678,#1305,7.78,"Park, So-Hee (Story & Art)"
Love in the Mask,Finished,"Action, Comedy, Romance, Life",308,#1811,#1311,7.78,"Han, Yu-Rang (Story & Art)"
Pigpen,Finished,"Horror, Suspense",110,#3712,#1323,7.78,"Kim, Carnby (Story), Cheon, Beom Sick (Art)"
The Villainess Turns the Hourglass,Finished,Fantasy,112,#2642,#1324,7.78,"Ant Studio (Art), Sansobee (Story)"
Yongbi Bulpae,Finished,"Action, Adventure, Comedy",77,#3705,#1362,7.77,"Mun, Jung-Hoo (Art), Ryu, Ki Woon (Story)"
Pinocchio,Finished,"Comedy, Romance, Supernatural",52,#5004,#1368,7.77,Maru (Story & Art)
Beware the Villainess!,Finished,"Comedy, Fantasy, Romance",160,#2069,#1383,7.77,"Ppongtta Mat Screw Bar (Story), Blue Canna (Art)"
Doom Breaker,Publishing,"Action, Fantasy",163,#1447,#1385,7.76,Cheongdam (Story & Art)
Mystical,Finished,"Drama, Romance, Supernatural",43,#9176,#1404,7.76,VAN.J (Story & Art)
"Nineteen, Twenty-One",Finished,"Romance, Life",332,#748,#1411,7.76,"Kim, Hye-Jin (Art), Yohan (Story)"
My Young Cat and My Old Dog,Finished,"Comedy, Drama, Life",33,#5900,#1390,7.76,Cho (Story & Art)
At the End of the Road,Finished,"Love, Drama, Suspense",268,#1796,#1426,7.75,Haribo (Story & Art)
Overgeared,Publishing,"Action, Fantasy",206,#1627,#1419,7.75,"Park, Saenal (Story), Team Argo (Art)"
The Perks of Being a Villainess,Publishing,"Fantasy, Romance",18,#6383,#1420,7.75,"Mang, Gokim (Story), Yoteh (Art)"
Mother's Contract Marriage,Publishing,Fantasy,14,#9672,#1421,7.75,"Choo, Hae-Yun (Art), Siya (Story)"
Savage Garden,Finished,Drama,108,#3426,#1459,7.75,"Lee, Hyeon-Sook (Story & Art)"
Dokgo,Finished,"Action, Drama",97,#3309,#1438,7.75,"Baek, Seung Hoon (Art), Meen (Story)"
My Life as a Loser,Finished,"Action, Drama",33,#9855,#1482,7.74,"Park, Tae-Jun (Story), Jeon, Seonwook (Art)"
Lout of Count's Family,Publishing,Fantasy,247,#1666,#1483,7.74,"Yu, Ryeo Han (Story), PAN4 (Art)"
Star x Fanboy,Finished,Love,56,#8265,#1490,7.74,"Kim, Cheomji (Story & Art)"
You're So Cool,Finished,"Comedy, Romance",62,#4320,#1467,7.74,"Lee, Young Hui (Story & Art)"
Running on Empty,Finished,Love,52,#3844,#1475,7.74,"Kim, Jea-Eun (Story & Art)"
Surviving Romance,Finished,"Horror, Suspense",72,#6246,#1519,7.73,"Lee, Yeon (Story & Art)"
The Broken Ring: This Marriage Will Fail Anyway,Publishing,"Drama, Fantasy, Romance",32,#6590,#1520,7.73,"Kim, Chacha (Story), Cheong-gwa (Art)"
Unlucky Mansion,Finished,"Comedy, Romance, Life",45,#5010,#1556,7.72,Yakguk (Story & Art)
Yureka,Finished,"Action, Adventure, Fantasy",230,#2091,#1565,7.72,"Son, Hee-Joon (Story), Kim, Youn-Kyung (Art)"
Unintentional Love Story,Finished,Love,25,#12955,#1584,7.72,Pibi (Story & Art)
Marriage of Convenience,Publishing,"Fantasy, Romance",40,#5511,#1585,7.72,"Ant Studio (Art), Ken (Story)"
Distant Sky,Finished,"Action, Drama, Horror, Mystery",166,#2581,#1623,7.71,"Yoon, In-Wan (Story), Kim, Sun-hee (Art)"
My Heart Is Beating,Finished,"Comedy, Drama, Romance, Life, Sports",98,#2555,#1648,7.7,"Ha, Il-Kwon (Story & Art)"
Return of the Mad Demon,Publishing,Action,103,#2768,#1696,7.69,"Yu, Jinsung (Story), Ihy (Art)"
No Home,Publishing,Life,113,#10884,#1697,7.69,Wanan (Story & Art)
Death's Game,Finished,"Drama, Supernatural",36,#8561,#1698,7.69,"Lee, Won-Sik (Story), Ggulchan (Art)"
"The Children's Teacher, Mr. Kwon",Finished,"Drama, Life",32,#5445,#1718,7.69,"Ho, Woo (Story & Art)"
Hot Blooded Woman,Finished,"Action, Comedy, Drama",139,#2687,#1676,7.69,"Hwang, Mi Ri (Story & Art)"
Absolute Witch,Finished,"Adventure, Fantasy, Romance",42,#5170,#1684,7.69,"Kim, Tae-Yeon (Story & Art)"
Threads of Time,Finished,"Action, Adventure, Fantasy",63,#3578,#1730,7.68,"Noh, Miyoung (Story & Art)"
Crazy Girl Shin Bia-Ah,Finished,"Comedy, Drama, Romance, Supernatural",144,#2612,#1739,7.68,"Hwang, Mi Ri (Story & Art)"
Get Schooled,Publishing,Drama,135,#2770,#1727,7.68,"Chae, Yongtaek (Story), Han, Garam (Art)"
Familyman,Finished,"Comedy, Drama, Romance, Life",32,#7564,#1720,7.68,"Jung, Pil Won (Story & Art)"
The God of High School,Finished,"Action, Adventure, Fantasy, Supernatural","2,106",#207,#1760,7.68,"Park, Yong-Je (Story & Art)"
Out of Control,Finished,Love,76,#8323,#1771,7.67,Bboong (Story & Art)
The Tarot Café,Finished,"Love, Comedy, Drama, Fantasy, Horror, Mystery, Romance, Supernatural",234,#2620,#1776,7.67,"Park, Sang-Sun (Story & Art)"
The Bride of the Water God,Finished,"Drama, Fantasy, Romance",466,#857,#1783,7.67,"Yoon, Mi-Kyung (Story & Art)"
Happily Ever Afterwards,Finished,"Comedy, Fantasy, Romance",47,#6399,#1813,7.67,"Jeongseo (Art), Hwang, Dotol (Story)"
'Til Debt Do Us Part,Finished,Romance,22,#6948,#1814,7.67,"Flowbee (Story), Janggreen (Art)"
Miss Not-So Sidekick,Finished,"Comedy, Fantasy",58,#6699,#1815,7.67,"Ellianyang (Story), Yumyum (Art)"
The Perks of Being an S-Class Heroine,Publishing,Fantasy,24,#7422,#1881,7.66,"Irinbi (Story), Grrr (Art)"
Doctor Elise: The Royal Lady with the Lamp,Finished,"Comedy, Fantasy, Romance",201,#1457,#1850,7.66,"Yuin (Story), mini (Art)"
Diamond Dust,Finished,"Drama, Romance",41,#4247,#1907,7.65,"Kang, Hyung Kyu (Story & Art)"
Dokgo Rewind,Finished,"Action, Drama",25,#6696,#1886,7.65,"Baek, Seung Hoon (Art), Meen (Story)"
"Father, I Don't Want This Marriage",Publishing,"Fantasy, Romance",71,#3508,#1884,7.65,"Hong, Heesu (Story), Roal (Art)"
The Flowers of Evil,Finished,"Drama, Romance",275,#1308,#1927,7.65,"Lee, Hyeon-Sook (Story & Art)"
My In-Laws are Obsessed with Me,Publishing,"Fantasy, Romance",47,#4822,#1962,7.64,"Han, Yoonseol (Story), Seungu (Art)"
What's Wrong with Secretary Kim?,Finished,"Comedy, Romance",50,#3933,#1967,7.64,"Kim, Myeongmi (Story & Art), Jung, Kyung-Yoon (Story)"
Princess,Publishing,"Adventure, Drama, Fantasy",38,#8108,#2012,7.63,"Han, Seung-Won (Story & Art)"
The First Night With the Duke,Finished,"Fantasy, Romance",50,#4761,#1998,7.63,"Hwang, Dotol (Story), MSG (Art)"
Killer Crush,Publishing,"Love, Comedy",14,#13576,#2000,7.63,Eresemo (Story & Art)
Taste of Illness,Finished,Drama,59,#5946,#2045,7.63,"Ha, Il-Kwon (Story & Art)"
Transparent Cohabitation,Finished,"Drama, Romance, Supernatural",99,#2961,#2048,7.62,Jeongseo (Story & Art)
The Pale Horse,Finished,"Drama, Mystery, Romance, Supernatural",74,#4184,#2065,7.62,"Choo, Hae-Yun (Story & Art)"
My Blasted Reincarnated Life,Publishing,"Action, Fantasy",119,#1709,#2070,7.62,"Park, Jeongyeol (Art), Mongma (Story)"
Salty Studio,Finished,"Comedy, Romance, Life",62,#5068,#2078,7.62,Omyo (Story & Art)
Transfer Student Storm Bringer,Finished,"Action, Comedy",121,#2470,#2099,7.61,Gangnengyi (Story & Art)
Majeh,Finished,"Action, Adventure, Fantasy, Supernatural",188,#1935,#2116,7.61,"Kim, Jae-Hwan (Art), Na, In-Soo (Story)"
Shotgun Boy,Finished,"Action, Horror, Suspense",108,#2148,#2152,7.61,"Kim, Carnby (Story), Hongpil (Art)"
The Siren: Becoming the Villain's Family,Publishing,"Drama, Fantasy, Romance",37,#5604,#2155,7.61,"Sol, Leesu (Story), Poya (Art)"
Villain with a Crush,Publishing,Romance,47,#5570,#2156,7.61,Seyoon (Story & Art)
Gosu,Finished,"Action, Adventure",48,#5422,#2159,7.6,"Mun, Jung-Hoo (Art), Ryu, Ki Woon (Story)"
For Better or For Worse,Finished,"Fantasy, Romance",19,#9430,#2160,7.6,"No Heeda (Story), Eunren (Art)"
Saving My Sweetheart,Publishing,"Drama, Fantasy",20,#7485,#2161,7.6,"Mayak Jelly (Story), Kim, Jiui (Art)"
Teen Spirit,Finished,"Comedy, Drama",59,#3938,#2173,7.6,"Kim, Jea-Eun (Story & Art)"
Angel Diary,Finished,"Comedy, Fantasy, Romance, Supernatural",89,#3534,#2215,7.59,"Kara (Art), Lee, Yun-hee (Story)"
My Reason to Die,Publishing,"Drama, Romance",54,#6254,#2239,7.59,Yuju (Story & Art)
Light and Shadow,Publishing,"Drama, Fantasy, Romance",40,#5195,#2276,7.58,"Ryu Hyang (Story), Heewon (Art)"
Park Hanhoo's Manager,Finished,Love,7,#21266,#2277,7.58,"Kim, Tac (Story & Art)"
Secret Lady,Publishing,"Fantasy, Romance",34,#7025,#2278,7.58,"Banana (Art), Anngato (Story)"
I Wish...,Finished,"Drama, Romance, Life, Supernatural",25,#8887,#2280,7.58,"Suh, Hyun-Ju (Story & Art)"
Dear My Girls,Finished,"Comedy, Drama, Romance",59,#3077,#2292,7.58,"Kim, Hee Eun (Story & Art), Alcott, Louisa May (Story)"
He's Dedicated to Roses,Finished,"Comedy, Drama, Romance, Life",139,#1754,#2293,7.58,"Hwang, Mi Ri (Story & Art)"
100% Perfect Girl,Finished,"Drama, Romance",191,#2031,#2334,7.57,Wann (Story & Art)
Can't Lose You,Finished,"Drama, Romance",20,#5483,#2336,7.57,Wann (Story & Art)
Immortal Regis,Finished,"Action, Supernatural",243,#796,#2337,7.57,"Juder (Art), Deo, JYU (Story & Art)"
Ciel,Finished,"Adventure, Fantasy, Romance",54,#4702,#2339,7.57,"Rhim, Ju-Yeon (Story & Art)"
Latna Saga: Survival of a Sword King,Publishing,"Action, Adventure, Fantasy",119,#2334,#2366,7.57,"Yim, Kyung-bae (Story), Kwon, Soonkyu (Art)"
Level Up with the Gods,Publishing,"Action, Adventure, Fantasy",78,#2126,#2368,7.57,"Heuk Ain (Story), Ohyeon (Art)"
My Beautiful World,Finished,"Comedy, Romance",34,#4897,#2377,7.57,Maru (Story & Art)
Kiss Wood,Finished,"Adventure, Drama, Fantasy",31,#5634,#2401,7.56,"Ahn, Sung Ho (Story & Art)"
Girls of the Wild's,Finished,"Action, Comedy, Drama, Romance","2,146",#205,#2405,7.56,"Kim, Hye-Jin (Art), Hun (Story)"
The Makeup Remover,Finished,"Comedy, Romance",88,#3402,#2411,7.56,"Lee, Yeon (Story & Art)"
Devil Number 4,Finished,"Romance, Supernatural",106,#3285,#2415,7.56,"woombeee (Art), jangjin (Story)"
H20,Finished,"Romance, Life",38,#5109,#2429,7.56,"Hwang, Sook Ji (Story & Art)"
The Swordmaster's Son,Publishing,"Action, Adventure, Fantasy",91,#1897,#2448,7.56,"Hwangje Penguin (Story), Lee, Jewon (Art)"
Second Life Ranker,Publishing,"Action, Fantasy",197,#1347,#2449,7.56,"Sadoyeon (Story), Nongnong (Art)"
The Novel's Extra,Publishing,"Action, Fantasy",73,#3054,#2451,7.56,"Ji, Gapsong (Story), Carrot Studio (Art)"
Debut or Die,Publishing,Drama,25,#16553,#2452,7.56,"Baek, Deoksoo (Story), Soheun (Art)"
I'm the Max-Level Newbie,Publishing,"Action, Fantasy",176,#1239,#2454,7.55,"Maslow (Story), Swing Bat (Art)"
Shall we Have Dinner Tonight?,Finished,"Comedy, Drama, Romance, Life",38,#4749,#2465,7.55,"Park, See-In (Story & Art)"
Masca: The Tale of the Great Mage of Hessed,Finished,"Drama, Fantasy, Romance, Supernatural",38,#7539,#2516,7.54,"Kim, Young Hee (Story & Art)"
Cavalier of the Abyss,Finished,"Action, Adventure, Fantasy, Supernatural",211,#1411,#2524,7.54,"Juder (Art), Deo, JYU (Story & Art)"
My Secret Brother,Finished,"Comedy, Drama, Romance, Life",97,#3632,#2533,7.54,Willow (Story & Art)
The Villainess Is a Marionette,Publishing,"Drama, Fantasy",62,#3223,#2537,7.54,"Hanirim (Story), Manggle (Art)"
Author of My Own Destiny,Publishing,"Fantasy, Romance",35,#4477,#2538,7.54,"Gyeoulip (Story), Jeokbal (Art)"
The Reaper,Publishing,"Action, Fantasy",54,#3407,#2539,7.54,"Woogack (Story), Inkyo (Art)"
Marry My Husband,Finished,"Drama, Romance, Suspense",63,#3726,#2540,7.54,"LICO (Art), Sung, Sojak (Story)"
Gilgamesh,Finished,"Action, Adventure, Fantasy",17,#10269,#2546,7.54,Hwandaeng (Story & Art)
Murim Login,Publishing,"Action, Adventure, Fantasy",35,#4258,#2591,7.53,"Zero-BIG (Story), Jang, Cheolbyeok (Art)"
Our Secret Alliance,Publishing,Romance,15,#12258,#2592,7.53,Kenyam (Story & Art)
Player,Publishing,"Action, Adventure, Fantasy",45,#5201,#2593,7.53,"Park, Jongseok (Story), Oh, Hyeonjun (Art)"
Moon You,Finished,"Comedy, Drama, Sci-Fi",28,#11764,#2629,7.53,"Jo, Seok (Story & Art)"
"Mom, I'm Sorry",Finished,"Drama, Supernatural",25,#7287,#2632,7.53,"MiTi (Story), Gugu (Art)"
A Returner's Magic Should Be Special,Publishing,"Action, Fantasy",391,#512,#2648,7.52,"Yu, So-nan (Story), Uk-jakga (Art)"
Red Lion,Finished,"Action, Comedy, Romance",55,#4617,#2664,7.52,"Kim, Yong Seon (Story & Art)"
World Bring It On!,Finished,"Comedy, Drama",16,#7145,#2671,7.52,"Hwang, Mi Ri (Story & Art)"
Knight Run,Publishing,"Action, Adventure, Drama, Fantasy, Sci-Fi",48,#6268,#2691,7.52,"Kim, Sung Min (Story & Art)"
The Monstrous Duke's Adopted Daughter,Finished,"Drama, Fantasy, Romance",50,#3489,#2699,7.52,"Liaran (Story), MinJakk (Art)"
The Lazy Lord Masters the Sword,Publishing,"Action, Fantasy",68,#2268,#2702,7.52,"Ideungbyeol (Story), Dodomoon (Art)"
Villainess in Love,Finished,"Fantasy, Romance",28,#5674,#2703,7.52,"Lee, Haron (Story), R Su Eopseum (Art)"
For My Derelict Favorite,Publishing,"Fantasy, Romance",23,#8808,#2704,7.52,"Kim, Seonyu (Story), Kimyong (Art)"
Kids Are All Right,Finished,Drama,15,#12520,#2711,7.52,HP56 (Story & Art)
Crepuscule,Finished,Supernatural,168,#1770,#2733,7.51,"Mirchi (Story), Yamchi (Art)"
The Lady and Her Butler,Finished,"Comedy, Drama, Romance",50,#5552,#2741,7.51,Jade (Story & Art)
Grass,Finished,Drama,12,#19175,#2744,7.51,"Kim, Keum-suk (Story & Art)"
Honggane,Finished,"Comedy, Romance",37,#4934,#2751,7.51,"Hwang, Mi Ri (Story & Art)"
The Skeleton Soldier Failed to Defend the Dungeon,Publishing,"Action, Adventure, Fantasy",131,#2200,#2786,7.51,"Sosori (Story), Ant Studio (Art)"
Little Rabbit and the Big Bad Leopard,Publishing,"Fantasy, Romance",35,#6299,#2787,7.51,"Yasik Meongneunjung (Story), Sadam (Art)"
"Into the Light, Once Again",Publishing,"Drama, Fantasy",32,#4109,#2788,7.51,"Tikatika (Story), Yuya (Art)"
Flirting with the Villain's Dad,Publishing,"Fantasy, Romance",88,#2796,#2790,7.5,"Dalseul (Story), via (Art)"
Hero Killer,Publishing,Action,69,#4225,#2792,7.5,"Kkulbeol (Story), Beolkkul (Art)"
The Villainess Flips the Script!,Publishing,Fantasy,14,#5560,#2793,7.5,"Ken (Story), Garine (Art)"
Bloody Sweet,Finished,"Romance, Supernatural",57,#4291,#2796,7.5,"Lee, Na-Rae (Story & Art)"
Flow,Finished,"Action, Drama, Supernatural",135,#3648,#2801,7.5,Honey Bee (Story & Art)
An Uncomfortable Truth,Finished,Suspense,48,#9652,#2802,7.5,EErun (Story & Art)
When the Day Comes,Finished,Romance,18,#15278,#2897,7.49,Omyo (Story & Art)
The Archmage Returns After 4000 Years,Publishing,"Action, Adventure, Fantasy",87,#1590,#2899,7.49,"Nakhasan (Story), Kim, Deok-yong (Art)"
Dark Mortal,Finished,"Drama, Supernatural",14,#11384,#2900,7.49,"Lee, Jeonyeok (Story & Art)"
Pick Me Up!,Publishing,"Action, Fantasy",32,#4619,#2901,7.49,"Wasakbasak (Art), Hermode (Story)"
Tales of the Unusual,Finished,"Horror, Mystery, Supernatural",36,#6257,#2905,7.49,"Oh, Seongdae (Story & Art)"
Secret Alliance,Finished,"Drama, Romance",105,#6456,#2910,7.49,Lero (Story & Art)
I Don't Want This Kind of Hero,Finished,"Action, Comedy, Fantasy, Sci-Fi, Supernatural",99,#4503,#2956,7.48,Samchon (Story & Art)
Hardcore Leveling Warrior,Finished,"Action, Adventure, Fantasy",86,#4209,#2964,7.48,"Kim, Sehoon (Story & Art)"
How to Use a Returner,Publishing,"Action, Adventure, Fantasy",84,#3060,#2965,7.48,"Heuksujeo (Story), Midnight Studio (Art)"
Pyramid Game,Finished,Drama,18,#16203,#2966,7.48,Dalgonyak (Story & Art)
Barbarian Quest,Publishing,"Action, Adventure, Fantasy",15,#8185,#2967,7.48,"Baeksu Gwijok (Story), Morando (Art)"
