title,status,genres,favorites,popularity,rank,score,authors
100,Finished,"Action, Suspense",1,#22668,#13207,6.65,"Hyeong Eun (Story), Choi, Yunyeol (Art)"
The Frost Flower Knight,Publishing,"Fantasy, Romance",3,#14709,#13208,6.65,"Jin, Juha (Story), Towawa (Art)"
The Reborn Ranker Chronicles,Publishing,"Action, Fantasy",0,#10201,#13209,6.65,"Sanbo (Story), Inyong (Art)"
The Red Soul,Finished,"Action, Fantasy",3,#8383,#13237,6.65,"Lee, Jong-Kyu (Story), Kang, Jae-Sin (Art)"
Blast,Finished,"Action, Fantasy",5,#7553,#13239,6.65,"Lee, HaNa (Story), Park, KangHo (Art)"
Ba-thump Ba-thump Diary,Finished,"Drama, Romance, Sports",0,#10111,#13276,6.65,"Kimi, Mi-jung (Story & Art)"
Legendary Kang Do-Young,Finished,"Action, Comedy, Romance",0,#24440,#13288,6.65,"Jung, Yi Won (Story & Art)"
Dragon Hunter,Finished,"Action, Adventure, Fantasy",8,#19052,#13306,6.64,"Seo, Hong Seok (Story & Art)"
Ghost King,Finished,Action,5,#13214,#13341,6.64,"Park, Jinseok (Art), Son, Gohu (Story)"
The Lady's Law of Survival,Finished,"Fantasy, Romance",2,#14941,#13342,6.64,"Yumyum (Art), Leelim (Story)"
Daisy: How to Become the Duke's Fiancée,Publishing,"Fantasy, Romance",5,#13021,#13343,6.64,"Lisabel (Story), Allyn (Art), Yuzu (Art)"
The Heroine of Drayfox,Publishing,Fantasy,2,#17588,#13344,6.64,"Latine (Story), Seulah (Art), Bbaek (Art)"
Little Lady Mint,Publishing,"Fantasy, Romance",4,#18104,#13345,6.64,"Galpi (Art), Oh, Yoon (Story)"
Dimensional Mercenary,Publishing,"Action, Adventure, Fantasy",0,#14773,#13347,6.64,"Kim, Jae-Hwan (Art), Ballo (Art), Keumho (Story)"
White Angels Have No Wings,Finished,Love,10,#19196,#13403,6.64,Gado (Story & Art)
The Devil's Boy,Finished,"Action, Fantasy",5,#21879,#13420,6.64,"Kwon, Kirin (Story), Yun, Jihyun (Art)"
Undecided,Finished,"Drama, Life",1,#11262,#13460,6.63,"Byung Jun, Byun (Story & Art)"
The Runway,Publishing,Romance,0,#14153,#13488,6.63,"Hirachell (Story), Nokdu (Art)"
The World Is Money and Power,Finished,Action,3,#14798,#13490,6.63,"Han, Dongwoo (Story), Lee, Dohee (Art)"
The Tax Reaper,Publishing,Drama,0,#20054,#13491,6.63,"Dongmyeon Geobugi (Story), Since (Art)"
Be My Sweet Darling,Finished,"Comedy, Drama, Romance",1,#9567,#13558,6.62,"Do, Chan (Story & Art)"
The Advanced Player of the Tutorial Tower,Publishing,"Action, Adventure, Fantasy",23,#2468,#13641,6.62,"Bangguseok Kim-ssi (Story), Omagam (Art)"
The Druid of Seoul Station,Publishing,"Action, Fantasy",5,#4259,#13642,6.62,"Jin, Seolwoo (Story), Hwalseonggom (Art)"
The Live,Publishing,"Action, Fantasy",1,#6410,#13643,6.62,"Heuk Ain (Story), Heo, Seongmoo (Art)"
The Protection of Lariensa Gelinus,Finished,"Comedy, Fantasy, Romance",2,#21100,#13644,6.62,"Han, Sulon (Story), Meonji (Art)"
"Don't Hire My Brother, Your Highness!",Publishing,"Fantasy, Romance",0,#18806,#13645,6.62,"Lee, Suho (Art), Ryu, Heon (Story)"
Villains Behind the Curtains,Publishing,"Fantasy, Romance",0,#15035,#13646,6.62,"Flangby (Story), J00 (Art)"
Updater,Publishing,"Action, Adventure, Fantasy",6,#9944,#13647,6.62,89line (Story & Art)
The Heavenly Demon Destroys the Lich King's Murim,Publishing,"Action, Adventure, Fantasy",1,#22326,#13648,6.62,"Cho, Hyung Geun (Story), Noh, Dobaem (Art)"
Past Life Returner,Publishing,"Action, Fantasy",1,#12554,#13649,6.62,"Na, Minchae (Story), NFToon (Art)"
Perfect Marriage Revenge,Publishing,Romance,2,#11538,#13654,6.61,"Yibambe (Story), Jerryball (Art)"
Leveling Beyond the Max,Publishing,"Action, Fantasy",10,#5142,#13655,6.61,"Kim, Sangrok (Art), Haemugeuk (Story)"
Princess in the Rough,Publishing,"Drama, Fantasy",4,#10234,#13656,6.61,"Harasyo (Story), Haerua (Art)"
Zero Game,Publishing,"Action, Fantasy",5,#15827,#13657,6.61,Zelbasen (Story & Art)
She Would Never Know,Finished,Romance,1,#19682,#13658,6.61,"Elize (Story), Jinha (Art)"
Angry,Finished,Action,7,#23677,#13707,6.61,"Yoo, Kyung Won (Story), Kim, Jae Yeon (Art)"
Wild School,Finished,Action,0,#16420,#13709,6.61,"Kim, Jeong-Han (Story & Art)"
A Bias Girl,Finished,"Comedy, Life",10,#8601,#13740,6.61,"Wie, Sung Soo (Story), Kim, Soo Min (Art)"
I Don't Love You Anymore,Publishing,"Fantasy, Romance",1,#12710,#13793,6.6,"Eun, Hayoon (Story), Susu (Art)"
"It Was a Mistake, Grand Duke!",Publishing,"Comedy, Fantasy, Romance",1,#14708,#13794,6.6,"Sisse (Story), Joypyonn (Art)"
The Grand Duchess of the North Was Secretly a Villainess,Publishing,"Fantasy, Romance",0,#17358,#13796,6.6,"Maru Gongbang (Art), Hae, Seoram (Story)"
Monster Streamer for Gods,Publishing,"Action, Fantasy",0,#13358,#13797,6.6,"Parnar (Story), Surirazza (Art)"
Bad Boy,Publishing,"Action, Comedy",3,#17634,#13798,6.6,Dooms (Story & Art)
Recast,Finished,"Action, Adventure, Fantasy",1,#20462,#13866,6.6,"Kye, Seung-Hui (Story & Art)"
"Good-bye, My 19 year Old Self",Finished,"Drama, Romance",0,#13073,#13889,6.59,"Kimi, Mi-jung (Story & Art)"
The Newlywed Diary of a Witch and a Dragon,Finished,"Fantasy, Romance",0,#11289,#13909,6.59,"New Lung (Story), Dimang (Art), Baridal (Story)"
Athena Complex,Publishing,"Action, Fantasy",3,#23010,#13910,6.59,Kaisar (Story & Art)
I've Been Proposed to By a Villain,Finished,"Fantasy, Romance",1,#12346,#13911,6.59,"Sipsamwol-ui Saebyeok (Story), Sadong (Art)"
The Legendary Return,Publishing,Drama,3,#12797,#13912,6.59,"Song, Jin Wu (Art), Kim, Kwang-soo (Story)"
Samadhi,Finished,"Action, Supernatural",0,#23751,#13913,6.59,"Lee, Won-Sik (Story), Ggulchan (Art)"
The SSS-Rank Hunter's Lucky Draw,Publishing,"Action, Fantasy",3,#8451,#13914,6.59,"Sampyeonjapga (Story), Yoon, Seokjoon (Art)"
I Regressed to My Ruined Family,Publishing,"Action, Fantasy",1,#10858,#13916,6.59,"Studio Zilpung (Art), Keyboard Manse (Story)"
The Legend of Soma,Finished,"Action, Adventure, Fantasy",11,#19326,#14012,6.58,"Yang, Kyung-il (Art), Hwang, Yong-Su (Story)"
The Devil's Trill,Finished,"Drama, Romance",1,#20233,#14014,6.58,"Won, Soo-yeon (Story & Art)"
Angel or Villainess,Publishing,"Drama, Fantasy",0,#14550,#14054,6.58,"Susu (Story), Waffle Poo (Art)"
microHUNTER,Finished,"Action, Fantasy",0,#14285,#14055,6.58,"JRobin (Story), Doryeonbyeoni (Story & Art)"
Karsearin: Adventures of a Red Dragon,Publishing,"Adventure, Fantasy",1,#21859,#14056,6.58,"Yim, Kyung-bae (Story), Cha, Woo-min (Art)"
"Ingrid, the White Deer",Finished,"Fantasy, Romance",0,#22486,#14057,6.58,"Red Parsley (Art), Huin-ultari (Story)"
Paladin,Finished,"Action, Adventure, Fantasy",4,#10261,#14077,6.58,"Mun, Jung-Hoo (Art), Ryu, Ki Woon (Story)"
Cat Funeral,Finished,Life,2,#19591,#14078,6.58,"Hong, Jac-Ga (Story & Art)"
Delusional Boy,Publishing,"Horror, Supernatural",1,#13718,#14181,6.57,"Song, Jin Wu (Art), JAL (Story)"
"I Dream of Health, Wealth, and a Long Life",Publishing,Fantasy,1,#15503,#14206,6.57,"Cheong, Songah (Story), Uju Haepari (Art)"
The Fake Lady and Her Rabbit Duke,Finished,"Fantasy, Romance",2,#13460,#14207,6.57,"Han, Seram (Story), Saesong (Art)"
